crime_type,year,month,day,hour,location,latitude,longitude
battery,2001,2,9,5,OTHER,41.890617159,-87.743928987
theft,2005,1,15,16,RESIDENCE,41.656880565,-87.594054317
theft,2007,4,9,7,PARKING LOT/GARAGE(NON.RESID.),41.895897635,-87.677715036
battery,2004,10,9,14,SIDEWALK,41.7255911,-87.560795933
theft,2009,10,25,20,APARTMENT,41.694850249,-87.627957476
battery,2014,10,11,17,STREET,41.780294987,-87.684888472
battery,2013,3,27,14,SIDEWALK,41.87886043,-87.726470068
battery,2005,9,16,20,STREET,41.848549403,-87.626979903
criminal damage,2017,3,8,11,GOVERNMENT BUILDING/PROPERTY,41.909782596,-87.734318403
theft,2002,11,20,24,VACANT LOT/LAND,41.900040745,-87.721343753
battery,2013,1,15,20,STREET,41.695245189,-87.629260335
criminal damage,2006,4,20,20,STREET,41.799860994,-87.675581167
theft,2001,7,11,24,RESIDENCE,41.682644155,-87.623613599
theft,2016,12,6,19,STREET,41.685591052,-87.535263257
battery,2006,12,10,4,SIDEWALK,41.877283293,-87.710221997
criminal damage,2010,11,16,24,RESIDENCE,41.74986572,-87.550438162
criminal damage,2007,12,16,12,DRUG STORE,41.765755571,-87.576292427
theft,2008,1,21,22,PARKING LOT/GARAGE(NON.RESID.),41.829658419,-87.650204535
battery,2005,10,25,20,SIDEWALK,41.905805775,-87.726398631
criminal damage,2012,9,5,16,SMALL RETAIL STORE,41.806603358,-87.703931031
criminal damage,2006,10,18,5,STREET,41.738540825,-87.693776227
theft,2017,4,11,21,TAXICAB,41.881657949,-87.630871425
criminal damage,2017,6,29,10,STREET,41.830174487,-87.678019189
criminal damage,2004,9,8,9,PARKING LOT/GARAGE(NON.RESID.),41.938572513,-87.766800977
theft,2008,8,28,12,STREET,41.682485653,-87.6385442
battery,2007,8,31,24,RESIDENCE PORCH/HALLWAY,41.77675506,-87.673837575
theft,2007,4,27,16,VACANT LOT/LAND,41.844900307,-87.636540214
criminal damage,2008,7,3,12,RESTAURANT,41.723162201,-87.625080049
battery,2009,7,16,20,ALLEY,41.998465216,-87.69967472
battery,2009,10,21,23,SIDEWALK,41.809595667,-87.600869621
criminal damage,2001,7,16,12,STREET,41.988161969,-87.656612108
theft,2004,9,25,12,STREET,41.956323357,-87.730926888
criminal damage,2005,11,5,21,STREET,41.702484859,-87.641481897
criminal damage,2006,1,20,14,STREET,41.982047132,-87.664911776
criminal damage,2011,3,19,23,STREET,41.939745808,-87.665019265
criminal damage,2014,6,23,20,PARKING LOT/GARAGE(NON.RESID.),41.78913051,-87.703434602
battery,2010,4,18,18,STREET,41.773083097,-87.609112039
battery,2004,3,15,8,OTHER,41.754542876,-87.59920533
battery,2004,6,3,11,CHA PARKING LOT/GROUNDS,41.812526814,-87.608264377
criminal damage,2013,8,28,17,STREET,41.817209492,-87.644536963
theft,2006,12,12,14,RESIDENCE,41.989084409,-87.692054263
battery,2009,12,12,19,SIDEWALK,41.901594467,-87.725049997
criminal damage,2002,8,2,17,DEPARTMENT STORE,41.754592961,-87.741528537
criminal damage,2009,2,28,23,RESIDENCE,41.783087535,-87.665999603
battery,2006,4,27,24,SIDEWALK,41.899557181,-87.749698209
criminal damage,2004,12,17,20,COMMERCIAL / BUSINESS OFFICE,41.997703754,-87.691533629
criminal damage,2001,12,20,17,PARKING LOT/GARAGE(NON.RESID.),41.681057434,-87.539624307
theft,2004,8,28,21,PARKING LOT/GARAGE(NON.RESID.),41.881861285,-87.707302191
criminal damage,2006,3,2,11,SMALL RETAIL STORE,41.897837503,-87.624097243
battery,2010,10,11,19,RESIDENCE,41.693126882,-87.635160035
criminal damage,2001,8,15,13,APARTMENT,41.761303849,-87.557706707
theft,2012,6,22,9,RESIDENCE,41.949667224,-87.671363486
battery,2006,6,9,22,STREET,41.932035479,-87.726984272
criminal damage,2010,12,17,17,SMALL RETAIL STORE,41.909664252,-87.742728815
battery,2016,5,23,20,STREET,41.752785282,-87.623907915
criminal damage,2011,5,11,9,RESIDENTIAL YARD (FRONT/BACK),41.729710293,-87.661668872
criminal damage,2009,1,29,12,STREET,41.932965918,-87.727012211
criminal damage,2012,3,21,12,APARTMENT,41.759846847,-87.57003205
battery,2004,6,6,21,STREET,41.838071309,-87.713398834
battery,2008,4,1,21,STREET,41.756765336,-87.673316588
criminal damage,2010,10,8,11,RESIDENCE,41.718587812,-87.680762085
battery,2001,9,3,16,RESIDENCE-GARAGE,41.727597621,-87.559636245
theft,2005,9,20,20,STREET,41.816145737,-87.611627861
theft,2014,11,7,21,PARKING LOT/GARAGE(NON.RESID.),41.889741913,-87.765198001
battery,2006,7,26,19,SIDEWALK,42.015518819,-87.684178788
battery,2001,6,5,20,SIDEWALK,41.878236301,-87.709349822
criminal damage,2011,1,10,24,RESIDENCE,41.788274362,-87.67171376
criminal damage,2008,11,21,11,"SCHOOL, PRIVATE, BUILDING",41.68995741,-87.637460623
theft,2012,9,27,20,STREET,41.882140262,-87.682453298
theft,2014,9,12,15,RESIDENCE,41.857940844,-87.657171844
battery,2006,10,11,1,STREET,41.820701288,-87.694588232
battery,2002,11,5,13,SIDEWALK,41.880994362,-87.704336216
criminal damage,2003,8,10,13,STREET,41.933975541,-87.735863518
criminal damage,2007,5,18,8,CTA TRAIN,41.918116868,-87.652579784
criminal damage,2006,5,15,15,BANK,41.722578383,-87.662706548
theft,2003,8,8,20,STREET,41.697593914,-87.622061477
theft,2008,5,13,13,"SCHOOL, PUBLIC, BUILDING",41.702403273,-87.647557963
criminal damage,2009,1,9,16,STREET,41.750538141,-87.634278086
theft,2003,9,20,24,RESIDENCE,41.717727765,-87.568871404
theft,2007,10,3,1,CTA BUS,41.903450628,-87.631433403
battery,2015,3,18,1,SIDEWALK,41.903354381,-87.666864606
theft,2006,6,9,21,STREET,41.750538141,-87.634278086
criminal damage,2004,11,3,9,OTHER,41.722108211,-87.600973936
theft,2009,4,6,21,STREET,41.767241145,-87.691871039
battery,2002,2,25,12,ALLEY,41.919495746,-87.769813699
criminal damage,2016,10,13,6,RESIDENCE-GARAGE,41.9211998,-87.792036506
battery,2003,5,24,24,RESIDENCE,41.765992802,-87.650499121
theft,2010,5,9,17,STREET,41.69191448,-87.641155814
criminal damage,2004,2,23,7,PARKING LOT/GARAGE(NON.RESID.),41.71327249,-87.584940617
theft,2006,7,8,10,CONSTRUCTION SITE,41.659162402,-87.601976663
battery,2005,12,1,18,LIBRARY,41.677800201,-87.64295433
battery,2001,1,3,11,STREET,41.768403892,-87.685851349
battery,2004,2,23,13,STREET,41.706326697,-87.656188319
theft,2013,8,11,20,STREET,41.912308117,-87.711755165
battery,2006,5,2,16,SIDEWALK,42.005559291,-87.659735453
battery,2010,1,15,19,SIDEWALK,41.686214272,-87.632514623
battery,2011,2,8,24,"SCHOOL, PUBLIC, BUILDING",41.803201891,-87.72198373
theft,2007,1,24,19,STREET,41.979519161,-87.68978542
criminal damage,2007,5,25,11,APARTMENT,41.983120618,-87.655172226
battery,2010,9,22,23,STREET,41.904596948,-87.774235382
criminal damage,2004,9,2,16,CTA TRAIN,41.93991842,-87.653288878
battery,2005,9,27,24,SIDEWALK,41.786718408,-87.619023832
battery,2012,2,4,14,STREET,41.680481664,-87.540099953
criminal damage,2003,9,2,16,STREET,41.964669858,-87.721324973
criminal damage,2011,5,10,12,STREET,41.865448562,-87.72271273
battery,2004,9,27,24,STREET,41.713943828,-87.627276275
theft,2002,5,5,10,CHA APARTMENT,41.653734113,-87.596395591
criminal damage,2004,4,26,12,RESIDENCE,41.823125769,-87.602725951
battery,2005,7,21,3,STREET,41.793469112,-87.652426187
criminal damage,2001,10,1,16,PARKING LOT/GARAGE(NON.RESID.),41.911944513,-87.73632252
criminal damage,2007,7,9,2,RESIDENCE,41.893281677,-87.627596446
criminal damage,2014,4,28,3,STREET,41.764096879,-87.564549468
criminal damage,2013,10,31,18,COMMERCIAL / BUSINESS OFFICE,41.885369466,-87.63243193
theft,2011,8,15,16,STREET,41.7397828,-87.639645375
criminal damage,2014,1,22,9,STREET,41.87749386,-87.760683513
criminal damage,2003,12,21,20,RESTAURANT,41.911511274,-87.634721402
theft,2005,6,5,13,COMMERCIAL / BUSINESS OFFICE,41.736670076,-87.603215704
theft,2004,7,24,8,RESTAURANT,41.878638996,-87.627691486
criminal damage,2002,5,23,20,OTHER,41.751644458,-87.572976745
theft,2005,12,10,12,VEHICLE NON-COMMERCIAL,41.906030414,-87.675980306
theft,2009,3,24,12,STREET,41.761950692,-87.685612005
theft,2008,3,9,1,VACANT LOT/LAND,41.783283798,-87.615699723
theft,2008,8,19,21,RESIDENCE,41.953866215,-87.712186057
theft,2001,6,29,10,STREET,41.745595945,-87.551296207
theft,2016,2,4,12,STREET,41.892331269,-87.742124577
theft,2013,8,20,22,JAIL / LOCK-UP FACILITY,41.903113054,-87.643199348
battery,2016,1,30,24,PARK PROPERTY,41.976161035,-87.650031227
criminal damage,2001,11,30,15,RESIDENCE,41.879529348,-87.751797304
battery,2005,9,26,18,SIDEWALK,41.838071309,-87.713398834
theft,2003,6,24,13,STREET,41.742106927,-87.725865061
battery,2010,3,26,21,SIDEWALK,41.773294218,-87.590174849
criminal damage,2001,11,2,14,DRUG STORE,41.975304988,-87.767593527
battery,2014,7,8,19,SIDEWALK,41.973466276,-87.659790559
theft,2002,6,30,19,STREET,41.748370093,-87.625752166
theft,2008,8,20,1,RESIDENCE,41.977960408,-87.771306583
battery,2015,11,30,15,SIDEWALK,41.86586383,-87.708086073
battery,2012,8,25,10,SIDEWALK,41.87682553,-87.723096477
theft,2003,4,9,13,RESIDENCE,41.737519238,-87.731232031
battery,2005,11,25,14,SIDEWALK,41.958279089,-87.749883306
theft,2013,1,22,13,RESIDENCE,41.781316495,-87.620605362
